epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,383.314,1.94795,2.41624,1.35968,0.50504,0.27683,0.2249,0.11689,1.89111,2.21989,1.53897,0.00333166,0.00333166,0.00333166
2,718.403,1.93384,1.95027,1.2856,0.6449,0.21861,0.2299,0.10893,1.94819,2.16352,1.54793,0.00659901,0.00659901,0.00659901
3,1045,2.0547,2.07071,1.34306,0.58344,0.22382,0.16279,0.06496,2.19889,2.64746,1.79838,0.00980036,0.00980036,0.00980036
4,1372.49,2.16214,2.20134,1.39986,0.58998,0.18672,0.14942,0.05936,2.22265,2.62481,1.80058,0.009703,0.009703,0.009703
5,1699.37,2.09497,2.08203,1.36441,0.47226,0.21258,0.18062,0.07185,2.14287,2.54608,1.7327,0.009604,0.009604,0.009604
6,2025.96,2.04009,2.00536,1.35537,0.59576,0.22186,0.19366,0.08563,1.99948,2.35536,1.6242,0.009505,0.009505,0.009505
7,2352.61,1.98514,1.92671,1.32912,0.5899,0.22507,0.19134,0.08572,2.00502,2.41008,1.6546,0.009406,0.009406,0.009406
8,2678.84,1.94019,1.84059,1.30613,0.63838,0.22427,0.23476,0.10507,1.93354,2.24923,1.57553,0.009307,0.009307,0.009307
9,3006.24,1.91115,1.82061,1.30036,0.61897,0.25911,0.22084,0.09661,1.99009,2.20907,1.63253,0.009208,0.009208,0.009208
10,3333.35,1.88218,1.76465,1.27941,0.65726,0.22729,0.22244,0.10576,1.91257,2.19871,1.56818,0.009109,0.009109,0.009109
11,3675.66,1.84714,1.71017,1.26,0.62935,0.26765,0.22529,0.11028,1.8438,2.1508,1.49779,0.00901,0.00901,0.00901
12,4029.18,1.82667,1.66866,1.2587,0.5215,0.26934,0.23933,0.11964,1.89368,2.05846,1.59156,0.008911,0.008911,0.008911
13,4385.06,1.80736,1.64622,1.24663,0.67551,0.26303,0.26031,0.1264,1.87355,1.96776,1.5656,0.008812,0.008812,0.008812
14,4711.71,1.77563,1.5918,1.23768,0.53287,0.28951,0.26547,0.12445,1.86188,1.98325,1.5407,0.008713,0.008713,0.008713
15,5097.18,1.76093,1.55811,1.21718,0.68065,0.26949,0.27429,0.13729,1.77035,1.9368,1.46949,0.008614,0.008614,0.008614
16,5452.7,1.73601,1.52227,1.20885,0.57332,0.25016,0.27638,0.13761,1.79529,1.91506,1.48856,0.008515,0.008515,0.008515
17,5869.44,1.71875,1.49334,1.20712,0.57567,0.26233,0.27574,0.13611,1.77295,1.91228,1.49286,0.008416,0.008416,0.008416
18,6283.48,1.69487,1.45997,1.19284,0.45596,0.31346,0.28628,0.13999,1.81161,1.96882,1.52983,0.008317,0.008317,0.008317
19,6709.78,1.67414,1.41961,1.1781,0.34632,0.35919,0.30171,0.14322,1.75076,1.91536,1.476,0.008218,0.008218,0.008218
20,7148.72,1.65339,1.40484,1.17936,0.31213,0.2933,0.27057,0.13726,1.75909,1.89822,1.48884,0.008119,0.008119,0.008119
21,7581.45,1.64067,1.38826,1.17597,0.31195,0.30709,0.27818,0.14162,1.77486,1.85588,1.52899,0.00802,0.00802,0.00802
22,8003.45,1.6146,1.34915,1.16513,0.34884,0.37683,0.30054,0.15572,1.75791,1.83112,1.50779,0.007921,0.007921,0.007921
23,8416.82,1.61046,1.33524,1.15717,0.41154,0.37954,0.29843,0.15102,1.7357,1.87398,1.50531,0.007822,0.007822,0.007822
24,8751.73,1.58093,1.3066,1.14608,0.26652,0.3565,0.28561,0.1463,1.75082,1.83178,1.51803,0.007723,0.007723,0.007723
25,9085.73,1.5725,1.28942,1.14532,0.39202,0.33536,0.31225,0.16065,1.78589,1.85824,1.51609,0.007624,0.007624,0.007624
26,9417.69,1.56011,1.25758,1.13784,0.29014,0.36347,0.29786,0.15396,1.74475,1.82389,1.51662,0.007525,0.007525,0.007525
27,9747.07,1.54861,1.24455,1.12612,0.46588,0.32613,0.31241,0.164,1.76745,1.79862,1.51712,0.007426,0.007426,0.007426
28,10076.8,1.5437,1.23909,1.13167,0.36519,0.33812,0.31421,0.16594,1.73068,1.84197,1.49236,0.007327,0.007327,0.007327
29,10406.4,1.51812,1.20933,1.11927,0.46951,0.30562,0.29258,0.15745,1.7174,1.86522,1.46472,0.007228,0.007228,0.007228
30,10736.6,1.49503,1.18971,1.11209,0.31601,0.39651,0.30258,0.16458,1.71338,1.80774,1.49026,0.007129,0.007129,0.007129
31,11066.1,1.49237,1.17475,1.10696,0.31959,0.3687,0.3123,0.16335,1.72727,1.73971,1.51127,0.00703,0.00703,0.00703
32,11393.8,1.47534,1.15369,1.10292,0.38948,0.33761,0.31542,0.16954,1.74569,1.77544,1.52925,0.006931,0.006931,0.006931
33,11720.9,1.47339,1.14888,1.09861,0.4929,0.32419,0.32686,0.1749,1.7419,1.7975,1.53687,0.006832,0.006832,0.006832
34,12048.2,1.44526,1.11788,1.08855,0.37544,0.32837,0.31644,0.16738,1.72044,1.74655,1.50165,0.006733,0.006733,0.006733
35,12376.4,1.4464,1.12088,1.08882,0.48492,0.37759,0.31974,0.16786,1.74215,1.75792,1.52544,0.006634,0.006634,0.006634
